No.,名称,住所,緯度,経度,フロア,設置場所,利用可能日時 - 日,利用可能日時 - 月,利用可能日時 - 火,利用可能日時 - 水,利用可能日時 - 木,利用可能日時 - 金,利用可能日時 - 土,利用可能日時 - 祝日,小児対応AED,備考,写真
36,近江町交流プラザ受付横3F,,,,3F,受付横,10:00〜18:00,10:00〜18:00,10:00〜18:00,不可,10:00〜18:00,10:00〜18:00,10:00〜18:00,10:00〜18:00,不明,館長確認後日対応,
37,商店街振興組合1Fエスカレーター横,,,,1F,エスカレーター横,9:00〜18:00,9:00〜18:00,9:00〜18:00,9:00〜18:00,9:00〜18:00,9:00〜18:00,9:00〜18:00,9:00〜18:00,あり,,
38,三井住友銀行,,,,,,,,,,,,,,不明,,
39,中山セントラル歯科,,,,不明,不明,不可,9:00〜18：00,9：00〜18：00,10:00〜18:00,10:00〜18:00,10:00〜12:00,10:00〜18:00,不可,不明,,
40,金沢蓄音器館１Ｆ受付横,,,,1Ｆ,受付横,不可,10：00〜17：30,10：00〜17：30,10：00〜17：30,10：00〜17：30,10：00〜17：30,10：00〜17：30,不可,不明,,
41,泉鏡花記念館1Ｆ出入口,,,,1Ｆ,出入口,9：30〜17：00,9：30〜17：00,9：30〜17：00,9：30〜17：00,9：30〜17：00,9：30〜17：00,9：30〜17：00,9：30〜17：00,不明,休館日12/29〜1/3,
42,和田歯科医院,,,,不明,不明,不可,9:00〜18：00,9：00〜18：00,9:00〜18：00,不可,9：00〜18：00,9：00＾16：00,不可,不明,写真参考,
43,金沢文芸館1Ｆトイレ前,,,,1Ｆ,トイレ前,不可,10：00〜18：00,10：00〜18：00,10：00〜18：00,10：00〜18：00,10：00〜18：00,10：00〜18：00,10：00〜18：00,不明,年末年始12/29〜1/3休館,
44,大手町病院1Ｆ受付前,,,,1Ｆ,受付前,,,,,,,,,あり,,
45,寺島蔵人邸跡トイレ前,,,,1Ｆ,トイレ前,9:00〜17:00,9:00〜17：00,9：00〜17：00,10:00〜19:00,10:00〜19:00,10:00〜19:00,10:00〜19:00,10：00〜19：00,不明,年末年始12/29〜1/3,
46,ダイダン株式会社1Ｆ出入口,,,,1Ｆ,出入口,,,,,,,,,不明,,
47,金沢市立玉川こども図書館1Ｆ受付,,,,1Ｆ,1Ｆ受付,10：00〜17：00,不可,10：00〜17：00,10：：00〜17：00,10：00〜17：00,10：：00〜17：00,10：00〜17：00,10：：00〜17：00,あり,休館日　月曜日、特別整理期間、年末年始,
48,三菱UFJ銀行金沢中央１F 玄関ATM,,,,１F,玄関ATM,7:00〜24:00,7:00〜24:00,7:00〜24:00,7:00〜24:00,7:00〜24:00,7:00〜24:00,7:00〜24:00,7:00〜24:00,不明,毎月第２土曜21:00〜不可,
49,東横イン１F　１階玄関,,,,１F,1階玄関,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,不明,,
50,北國銀行１F　警備室,,,,１F,１階警備室,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,なし,,
51,金沢聖霊病院,,,,,,,,,,,,,,,,
52,旧武家屋敷休憩館１F　ロビー,,,,１F,ロビー,9:30〜17:00,9:30〜17:00,9:30〜17:00,9:30〜17:00,9:30〜17:00,9:30〜17:00,9:30〜17:00,9:30〜17:00,あり,,
53,金沢市中央公民館長町館１F　１F階段下,,,,１F,１F階段下,9:00〜17:00,9:00〜21:00,9:00〜21:00,9:00〜21:00,9:00〜21:00,9:00〜21:00,9:00〜21:00,不可,あり,年末年始休み,
54,金沢市老舗記念館１F　お手洗い前,,,,１F,１Fお手洗い前,9:30〜17:00,9:30〜17:00,9:30〜17:00,9:30〜17:00,9:30〜17:00,9:30〜17:00,9:30〜17:00,9:30〜17:00,あり,年3回休館日,
55,前田土佐守家資料館１F　玄関,,,,１F,玄関,9:30〜17:00,9:30〜17:00,9:30〜17:00,9:30〜17:00,9:30〜17:00,9:30〜17:00,9:30〜17:00,9:30〜17:00,あり,,
56,大和１F　総合案内横,,,,1F,総合案内横,10:00〜19:30,10:00〜19:30,10:00〜19:30,10:00〜19:30,10:00〜19:30,10:00〜19:30,10:00〜19:30,10:00〜19:30,あり,,
57,大和8F　エスカレーター横,,,,8F,エスカレーター横,10:00〜19:30,10:00〜19:30,10:00〜19:30,10:00〜19:30,10:00〜19:30,10:00〜19:30,10:00〜19:30,10:00〜19:30,あり,,
58,アトリオB1F　警備室,,,,B1F,警備室,10:00〜19:30,10:00〜19:30,10:00〜19:30,10:00〜19:30,10:00〜19:30,10:00〜19:30,10:00〜19:30,10:00〜19:30,不明,,
59,四高記念館正面玄関　受付前,,,,,正面玄関　受付前,9:00〜17:00,9:00〜17:00,9:00〜17:00,9:00〜17:00,9:00〜17:00,9:00〜17:00,9:00〜17:00,9:00〜17:00,なし,年末年始（12/29〜1/3）休み,
60,広坂合同庁舎１F　出入口,,,,１F,出入口,不可,8:30〜18:00,8:30〜18:00,8:30〜18:00,8:30〜18:00,8:30〜18:00,不可,不可,なし,閉庁日は警備員対応可、土日祝閉庁,
61,金沢東急ホテル2Fフロント横,,,,2F,フロント横,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,なし,,
62,ホテル金沢　兼六荘1Fフロント,,,,1F,フロント,5:00〜26:00,5:00〜26：00,5:00〜26:00,5:00〜26:00,5:00〜26:00,5:00〜26:00,5:00〜26:00,5:00〜26:00,不明,26:00以降は扉施錠、緊急時はTel,
63,KKRホテル金沢1Fフロント,,,,1F,フロント,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,なし,,
64,金沢健康プラザ大手町東館1F奥,,,,1F,1F,9:00〜17:00,9:00〜17:00,9:00〜17:00,9:00〜17:00,9:00〜17:00,9:00〜17:00,9:00〜17:00,9:00〜17:00,不明,西館にもあるが、詳細は不明,
65,白鳥路ホテル山楽1Fロビー脇,,,,1F,ロビー脇,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,不可,不明,,
